Algoritmo,Tamanho,TempoExecucao,NumeroTrocas,NumeroIteracoes
Selection Sort,1000,1.5857,995,499500
Quick Sort,1000,0.3466,5992,10581
Heap Sort,1000,0.3467,9075,9575
Radix Sort,1000,1.0081,12006,24999
Selection Sort,1000,0.4793,989,499500
Quick Sort,1000,0.0628,5472,10480
Heap Sort,1000,0.1065,9075,9575
Radix Sort,1000,0.7672,12007,24999
Selection Sort,1000,0.459,991,499500
Quick Sort,1000,0.0569,5959,11311
Heap Sort,1000,0.1026,9059,9559
Radix Sort,1000,0.2352,12007,24999
Selection Sort,1000,0.4505,997,499500
Quick Sort,1000,0.0577,6736,10879
Heap Sort,1000,0.1007,9139,9639
Radix Sort,1000,0.1243,12009,24999
Selection Sort,1000,0.5903,994,499500
Quick Sort,1000,0.0603,5829,10641
Heap Sort,1000,0.0997,9038,9538
Radix Sort,1000,0.1182,12006,24999
Selection Sort,10000,18.9463,9993,49995000
Quick Sort,10000,0.5107,79958,147937
Heap Sort,10000,1.1971,124311,129311
Radix Sort,10000,1.5918,120008,249999
Selection Sort,10000,18.9743,9992,49995000
Quick Sort,10000,0.581,85809,158472
Heap Sort,10000,1.1783,124354,129354
Radix Sort,10000,1.1925,120005,249999
Selection Sort,10000,19.113,9988,49995000
Quick Sort,10000,0.5594,79019,149757
Heap Sort,10000,1.1957,124188,129188
Radix Sort,10000,0.7029,120005,249999
Selection Sort,10000,18.9567,9995,49995000
Quick Sort,10000,0.5544,78104,156819
Heap Sort,10000,1.0953,124175,129175
Radix Sort,10000,0.7016,120013,249999
Selection Sort,10000,18.955,9992,49995000
Quick Sort,10000,0.5795,96713,169705
Heap Sort,10000,0.7973,124208,129208
Radix Sort,10000,0.7349,120005,249999
Selection Sort,100000,1975.3914,99988,704982704
Quick Sort,100000,6.7915,1056204,1954937
Heap Sort,100000,10.6133,1574503,1624503
Radix Sort,100000,6.6236,1200022,2499999
Selection Sort,100000,2066.6245,99993,704982704
Quick Sort,100000,6.1991,999143,2031371
Heap Sort,100000,8.9822,1575106,1625106
Radix Sort,100000,9.32,1200009,2499999
Selection Sort,100000,1862.604,99987,704982704
Quick Sort,100000,6.9436,972570,1899326
Heap Sort,100000,9.6332,1575245,1625245
Radix Sort,100000,4.7736,1200013,2499999
Selection Sort,100000,1946.5461,99991,704982704
Quick Sort,100000,6.3158,1051838,2043682
Heap Sort,100000,9.2672,1574562,1624562
Radix Sort,100000,4.4805,1200011,2499999
Selection Sort,100000,1843.0107,99985,704982704
Quick Sort,100000,6.6649,1251319,2121399
Heap Sort,100000,9.7475,1575184,1625184
Radix Sort,100000,7.6813,1200016,2499999
Selection Sort,500000,47878.8368,499991,445698416
Quick Sort,500000,36.2057,6035474,11590288
Heap Sort,500000,54.0419,9024264,9274264
Radix Sort,500000,28.3533,6000007,12499999
Selection Sort,500000,47838.1259,499983,445698416
Quick Sort,500000,36.0184,6182181,11635177
Heap Sort,500000,55.271,9023648,9273648
Radix Sort,500000,30.3718,6000013,12499999
Selection Sort,500000,48912.1319,499982,445698416
Quick Sort,500000,38.0413,5931683,11399203
Heap Sort,500000,54.6448,9024025,9274025
Radix Sort,500000,28.6621,6000013,12499999
Selection Sort,500000,50450.7955,499981,445698416
Quick Sort,500000,45.9452,5994843,11610426
Heap Sort,500000,57.9094,9024334,9274334
Radix Sort,500000,27.8317,6000010,12499999
Selection Sort,500000,48741.6835,499990,445698416
Quick Sort,500000,35.8474,6426870,11492014
Heap Sort,500000,71.1201,9024063,9274063
Radix Sort,500000,24.1387,6000016,12499999
Selection Sort,1000000,195724.8106,999988,1783293664
Quick Sort,1000000,76.3242,12917211,24348239
Heap Sort,1000000,117.3592,19047928,19547928
Radix Sort,1000000,61.1579,12000014,24999999
Selection Sort,1000000,196144.3459,999979,1783293664
Quick Sort,1000000,80.4251,12895396,23838169
Heap Sort,1000000,128.5259,19047431,19547431
Radix Sort,1000000,68.7639,12000013,24999999
Selection Sort,1000000,194899.1095,999990,1783293664
Quick Sort,1000000,77.6175,12828509,24864373
Heap Sort,1000000,114.395,19048596,19548596
Radix Sort,1000000,52.9467,12000019,24999999
Selection Sort,1000000,194143.1587,999988,1783293664
Quick Sort,1000000,77.7789,13907807,25365015
Heap Sort,1000000,123.4553,19048429,19548429
Radix Sort,1000000,51.4949,12000010,24999999
Selection Sort,1000000,196777.7063,999988,1783293664
Quick Sort,1000000,78.0032,12783111,24448179
Heap Sort,1000000,118.2456,19047881,19547881
Radix Sort,1000000,54.6664,12000016,24999999
